Model,RMSE,MAE,R²,Time (s)
Sklearn Random Forest,2.5863472528224696,0.5889286258291908,0.8318618209849384,10.021970987319946
Sklearn Linear Reg,3.271283340032566,0.7459251153240446,0.7310144226335616,0.16172242164611816
PySpark GBT,4.528179545668086,1.1013635610206314,0.9376993229836205,341.21791768074036
PySpark Random Forest,4.577968937745784,1.1746467422830915,0.9363217423139901,214.61689162254333
PySpark Linear Reg,5.863763985771301,2.1634284369098546,0.8955283503396664,11.425374984741211
